1	59.8573
2	52.0784
3	51.9355
4	52.3884
5	52.2075
6	52.0214
7	52.6825
8	52.4434
9	52.8235
10	52.5606
11	53.0543
12	52.3444
13	52.0945
14	51.8974
15	52.3175
16	52.1094
17	52.4025
18	53.1344
19	52.3505
20	52.1785
21	52.4114
22	52.4454
23	52.2785
24	52.1584
25	53.4647
26	52.7552
27	52.7005
28	52.9314
29	53.0414
30	52.6805
31	52.3065
32	52.4674
33	52.6834
34	52.2375
35	52.7074
36	52.5275
37	52.2624
38	52.7925
39	53.1674
40	52.4337
41	52.2432
42	52.8405
43	52.2364
44	53.3585
45	52.2594
46	51.9835
47	51.9754
48	53.2215
49	53.0154
50	52.4854
51	52.3825
52	52.2624
53	53.1617
1	60.7382
2	52.1525
3	52.8294
4	52.3835
5	52.0324
6	52.6905
7	53.3194
8	52.3245
9	52.7944
10	56.2594
11	52.3285
12	52.6524
13	52.7835
14	53.3276
15	54.8343
16	52.5084
17	53.0405
18	53.1034
19	60.7054
20	52.6824
21	52.9815
22	52.4604
23	54.7995
24	52.6394
25	52.0255
26	53.2194
27	56.2454
28	52.7055
29	53.4214
30	52.3525
31	52.8174
32	52.6655
33	52.4835
34	52.3414
35	54.4294
36	52.6705
37	52.2644
38	53.2906
39	52.2904
40	52.4364
41	52.3685
42	53.3364
43	53.2705
44	52.7474
45	54.3195
46	52.7504
47	52.3055
48	56.9404
49	52.8044
50	52.7115
51	52.3265
52	52.3284
53	52.6135
54	52.6194
55	52.3735
56	53.1224
57	53.1106
58	52.4254
59	52.4844
60	52.6465
61	52.5874
62	53.8705
1	59.6312
2	52.8045
3	52.4935
4	53.3374
5	52.1675
6	52.4645
7	52.7834
8	52.1785
9	54.7825
10	52.6494
11	52.4755
12	53.1124
13	51.9335
14	53.7474
15	52.5425
16	52.8075
17	53.7054
18	52.4677
19	52.1402
20	52.2435
21	52.2765
22	55.3894
23	52.6475
24	52.4744
25	52.0805
26	53.1146
27	52.1333
28	52.4075
29	52.2124
30	52.1545
31	53.7904
32	52.0035
33	52.1235
34	52.5334
35	52.7355
36	52.0275
37	53.8264
38	52.2865
39	52.3754
40	52.9255
41	52.3445
42	51.9504
43	53.1766
44	52.5703
45	52.2145
46	52.0895
47	52.4594
48	52.2065
49	52.5505
50	52.2234
51	52.9365
52	52.5604
53	52.7795
54	52.8425
55	52.4254
56	52.3125
57	52.1844
58	52.5675
59	52.2935
60	53.1304
61	52.0755
62	52.4904
